id,name,category,address,district,hours,rating,chain,seats
84133db04d984c12977e7ec5013ad0f8,Сабаба,ресторан,"Москва, Большая Черёмушкинская улица, 21",Юго-Западный административный округ,"ежедневно, 11:00–00:00",4.1,0,
06171d2a9e384eae8130530b02ea3318,Хлеб насущный,кофейня,"Москва, улица Крымский Вал, 9, стр. 59",Центральный административный округ,"ежедневно, 10:00–22:00",4.2,1,
4af172a60c76414293646b697acc83a1,Трапезная,столовая,"Москва, Андреевская набережная, 2",Юго-Западный административный округ,"ежедневно, 12:00–16:00",4.1,0,
6f6bad9a2255485083fc16f78d4a0989,Prime,ресторан,"Москва, Донская улица, 31",Южный административный округ,пн-пт 07:00–20:00,4.2,1,
491f400fd2b4419caacb4d42a5582da1,Комбинат,столовая,"Москва, Ленинский проспект, 15А",Южный административный округ,пн-пт 09:00–20:00,4.3,0,96.0
283bf8268209427084aa568d5f92f821,Кулинарная лавка братьев Караваевых,кафе,"Москва, улица Шаболовка, 29, корп. 2",Центральный административный округ,"ежедневно, 08:00–23:00",4.3,1,130.0
933b4cdbcbcb4fd6b2b9d32d92f9fae1,Улитка в шоколаде,кофейня,"Москва, Духовской переулок, 19",Южный административный округ,"пн-пт 09:00–21:00; сб,вс 10:00–21:00",4.5,0,
0917c0f4134c4e20a92864e21b3f84ff,Cobalt coffee,кофейня,"Москва, Донская улица, 14",Центральный административный округ,"ежедневно, 08:00–21:00",4.3,0,
14eeb28dedcc4eaaa218a478f915705f,Cultura Coffee,кофейня,"Москва, Усачёва улица, вл33-35",Центральный административный округ,"пн-пт 08:30–19:00; сб,вс 10:00–19:00",4.2,0,
83bf576472d548bc867f8b9c54858789,Север-Метрополь,кофейня,"Москва, Профсоюзная улица, 19",Юго-Западный административный округ,"ежедневно, 09:00–21:00",4.5,1,48.0
203bc7931d9248a6b5eb4b69bb22046d,Кафе на горе,кафе,"Москва, Электролитный проезд, 7Б, стр. 2",Южный административный округ,,4.2,0,
a364bae908da4d9192ae776b17f4bebc,Cofix,кофейня,"Москва, Профсоюзная улица, 19",Юго-Западный административный округ,"пн-пт 07:00–22:00; сб,вс 08:00–22:00",4.3,1,48.0
d4e8a5a2e7c94b1a8225047634563342,Хлеб Насущный,булочная,"Москва, улица Шаболовка, 30/12",Южный административный округ,"пн-пт 07:00–23:00; сб,вс 08:00–22:00",4.4,1,48.0
1513bc123f7040fbb3931aa0c13d496a,Шале-микс,кафе,"Москва, улица Губкина, 6, корп. 1",Юго-Западный административный округ,"ежедневно, 09:00–22:00",3.8,0,
8f7788d6cc79476d966ac2737db5cdc7,Три вилки,кофейня,"Москва, улица Орджоникидзе, 11, стр. 11",Южный административный округ,пн-пт 09:00–17:00,4.1,0,80.0
4261203f4001425594cc46fc44496c19,Мосфильм,кафе,"Москва, Пресненская набережная, 10, стр. 1",Западный административный округ,,4.5,0,478.0
