id,price,avg_bill,middle_avg_bill,middle_coffee_cup
69b4618bafb546cca7110cff791cabd9,средние,Средний счёт:1000 ₽,1000.0,
21fe96086f51474cac460f22aee7a838,средние,Средний счёт:500 ₽,500.0,
2f8694ca435745738e1d4014c3b3d33d,средние,Средний счёт:1000–1200 ₽,1100.0,
07a7760aedbf46bd88d3eb0421c86daa,средние,,,
b7a8e9a79b114282a462170c2396ccba,выше среднего,Средний счёт:1000–1300 ₽,1150.0,
8acce706e65b4165bc9045cbeaefd173,средние,Средний счёт:от 700 ₽,700.0,
8bbd7299898d4333be8124a259d0c58b,средние,Средний счёт:150–350 ₽,250.0,
5fc2b8fd65e743a39c3b95f7eb70ab8e,средние,Средний счёт:1000–1200 ₽,1100.0,
f47447e8c1564edaa2678363434ac4b6,средние,Средний счёт:200–400 ₽,300.0,
acbf4ba1657e44c7b2249333d0b197f7,средние,Цена чашки капучино:200–240 ₽,,220.0
b337f805dd36482fa45a5064c2e1520a,средние,Средний счёт:350–1000 ₽,675.0,
2efaceb4862c490181b9e302e0e0eb97,средние,Средний счёт:450–500 ₽,475.0,
af9f27dadf0d49988a4c530e9311534a,высокие,Средний счёт:1500–1880 ₽,1690.0,
3784a39a220a44edb610725e5a05c5de,средние,Средний счёт:350–500 ₽,425.0,
66d2b0284625435080a15aef0a9a2abb,средние,,,
29bd91bc1c7a4b7c84880069a82ec6a0,средние,Средний счёт:350–1500 ₽,925.0,
4ee03f095a0347d8bd1958603e213afb,средние,Средний счёт:300–500 ₽,400.0,
2bbb1b3dc99d4ca5ae36d736dbf2b867,,Средний счёт:200–300 ₽,250.0,
873eb6e229f6434d84a65d61bb06bd6b,,Средний счёт:200–400 ₽,300.0,
fae0391f294743f8b7249c348591ad0e,средние,,,
f88266d96b0244c295f9861477f0de48,средние,Средний счёт:от 700 ₽,700.0,
b7e0d64b33a84e3d97858a7a52164517,средние,,,
72a70869e43147618d46a063e8f49b6d,средние,Средний счёт:700 ₽,700.0,
de44a4d36d534d0597668b59f85b277a,средние,Средний счёт:150–300 ₽,225.0,
7531802aa3b24177a9ecbf94b2478d5c,средние,Средний счёт:800–1300 ₽,1050.0,
84b11e1ce8644e96b04f4f88b26d22e5,средние,Средний счёт:250–430 ₽,340.0,
a8861beac4174dbdb06484704a4d52ce,средние,Цена чашки капучино:150–200 ₽,,175.0
e92d9ad428c94158849c083cbd3d402e,средние,Средний счёт:до 1000 ₽,1000.0,
9eed296add3f4e3eb1913e804f4b6d38,средние,Средний счёт:250–300 ₽,275.0,
a01ad750358a4209a0bce6ef58bdbc0a,выше среднего,Средний счёт:1000–1500 ₽,1250.0,
a100c23cbf9e422d80a7d82eb15e1085,средние,,,
d60863fa32ed41e9bb83c0e4dc688da2,средние,Средний счёт:600–1300 ₽,950.0,
6ac0e6250be341b7b76cfa1d8047392a,средние,Цена бокала пива:199–300 ₽,,
f046c854c476432eb3b268670e9b59b9,,Цена бокала пива:от 140 ₽,,
a3c0c0089875450ea0207675807e37ef,средние,Цена бокала пива:от 149 ₽,,
074abbda7c9a47f29a6cbb394230657b,средние,Цена бокала пива:150–450 ₽,,
2f15cc3148f944c49659887cdd432dc6,средние,Средний счёт:900–1150 ₽,1025.0,
523191b2a92f4501b3d5489c96dd9931,средние,,,
4411c37fdeb043728393ebb422ff9cc9,средние,Средний счёт:500–700 ₽,600.0,
91c494b2b2614a07ae7634f8044f2155,высокие,Средний счёт:2000–2500 ₽,2250.0,
58225f513b7d4dfda4f93077b0dda49c,,Средний счёт:321 ₽,321.0,
7bc21a32edfb486c9a144e11ccb4591e,средние,Средний счёт:300–800 ₽,550.0,
ba8385c27c21448f9e7b011a9c9e9382,средние,Средний счёт:500–1000 ₽,750.0,
de55cc495a274c6c9ac9e2ef5b55b06b,средние,Средний счёт:500–1500 ₽,1000.0,
39bb5d4612cb4a119c186f6bfaa57ca5,средние,Средний счёт:350–500 ₽,425.0,
018c4198ef194d8490f325e795e2fc0e,средние,Средний счёт:200–300 ₽,250.0,
e687b67c5aa14a569f83c33d344a8172,средние,Средний счёт:200–450 ₽,325.0,
0d52d35d2496412d8061fb16100317b8,средние,,,
5017857d85a8424ea60a7b9ffb1c8b19,низкие,Цена чашки капучино:150–240 ₽,,195.0
51c54aad9dad4c00b03511c46030e359,средние,Средний счёт:200–250 ₽,225.0,
fcba3c2f6d214b4b9a76dd2b698d5223,,Средний счёт:150–250 ₽,200.0,
624f6fd410404ea99b62ffab6f9e606b,средние,Средний счёт:360–540 ₽,450.0,
cb63e1be55514374ba49ae2fe38be0a7,средние,Цена чашки капучино:239–274 ₽,,256.0
85e1f1d77d6d40b593270f969505fcc8,средние,Средний счёт:280–420 ₽,350.0,
194bb132e9d74796a61b68cfe47de9b5,средние,Средний счёт:1000–1200 ₽,1100.0,
b7b1e8af2209409a89a35db520517c9b,средние,Средний счёт:360 ₽,360.0,
0db207191f294473877333788e18bfe0,средние,Средний счёт:1000 ₽,1000.0,
3ae76c7e2314469090924ec12330bdee,средние,Средний счёт:350–400 ₽,375.0,
5560a32e8a7f405e99dfdbbe7a80b9d2,средние,Средний счёт:250–500 ₽,375.0,
ef2d2c4568774ad6b67442f03a4f76b0,выше среднего,Средний счёт:от 1500 ₽,1500.0,
c21a8f24481444bd90e78405e233ab70,,Средний счёт:317 ₽,317.0,
4d18992501e3415caba14be14a7f1532,средние,Средний счёт:350 ₽,350.0,
03ddfa194c7842969b0b082d4705f339,средние,Средний счёт:1000 ₽,1000.0,
86656b6781354886a557c0f43bc50e5b,средние,,,
826d6eeb6b64440a92d4b6fa7c6e9dc2,средние,Средний счёт:250–350 ₽,300.0,
5645bc14102b42ce8a6047a1046b3b82,,Средний счёт:до 650 ₽,650.0,
6cad383ee8a045bba49a142e09de099c,средние,Средний счёт:от 500 ₽,500.0,
db294e1293de42639e6f366f50faeca3,,Средний счёт:324 ₽,324.0,
6e3568f1521a4e9cb601d4d54c383b02,средние,,,
9ea8c3d2db89449dbaf89e7c5a1cc1b2,,Цена чашки капучино:от 60 ₽,,60.0
cd8e71eef14348b0aa5d9b86c49995eb,,Средний счёт:300–400 ₽,350.0,
4394ee41e738453aa0be126e0192bb49,средние,Средний счёт:200–300 ₽,250.0,
1bf780899356473fb423e3ef3ae3b732,,Средний счёт:300–400 ₽,350.0,
0445675a66e74e82a0959ea3b6133846,,Цена чашки капучино:от 60 ₽,,60.0
ef1d94897c184598bc1c2028efd5c889,,Средний счёт:343 ₽,343.0,
617c67707b39450d9d022e0b34dd333c,средние,Средний счёт:400–600 ₽,500.0,
7216b1671b784dfb9011e5697f0032c1,средние,Средний счёт:600–1300 ₽,950.0,
fa95d531e1424e6a971ffa1fe0bfb345,средние,Средний счёт:200–300 ₽,250.0,
e0cfde77975643a2aa12213873f6929d,,Средний счёт:120–160 ₽,140.0,
296b05a7ee0f472289f5d89c017562ae,,Цена чашки капучино:120–180 ₽,,150.0
649268f742d14712979d4124b77cd692,,Цена чашки капучино:от 60 ₽,,60.0
a15c0ce652ec4fe9916dad97ce1ee330,,Средний счёт:120 ₽,120.0,
ea7ade6597774dc9ac7d3c846c8faeb9,,Средний счёт:1000 ₽,1000.0,
c53287c03ce7458abe0add2e3d241694,,Цена чашки капучино:от 60 ₽,,60.0
cf254685b7304b20a063fce48f927173,средние,Средний счёт:от 350 ₽,350.0,
befb6114ce2f4397be108bd193d71584,,Цена чашки капучино:179–249 ₽,,214.0
ccf7d8eb45cf46169d43d287e5570a63,,Средний счёт:200–360 ₽,280.0,
f697e09549814fef8413536e64547376,средние,Средний счёт:300–450 ₽,375.0,
7b7ba620fd2844ddb5c237ff9aece33e,,Цена чашки капучино:75 ₽,,75.0
e26fac1b6cfb471a9ec1a3eb80cd2309,,Цена чашки капучино:от 89 ₽,,89.0
19fcbe9e2520416b93bea8a12abc6715,средние,Средний счёт:250–400 ₽,325.0,
8400f3371df94c4fb18d74644cf9c688,средние,Средний счёт:280–320 ₽,300.0,
68927777e7494a329e1cf66d7a6722ce,,Средний счёт:269 ₽,269.0,
d467fa5a17624faabed08658cfeec05e,,Средний счёт:от 500 ₽,500.0,
c95df5e366294bd4bedeb684a0251c31,,Цена чашки капучино:90–100 ₽,,95.0
6a99178f018f44edb6863ba4a7155ac3,средние,Средний счёт:500 ₽,500.0,
6affb44eb4d14974a5dc38cea7f3d34d,средние,Средний счёт:300–400 ₽,350.0,
ff0ae44f472b411380958248620f07e9,выше среднего,Средний счёт:1000–2000 ₽,1500.0,
61ee679794a84d8aabaf21b3a2d00d70,,Средний счёт:250–600 ₽,425.0,
51a101171a534a4ebf4b9c9928aa818e,средние,Средний счёт:240–360 ₽,300.0,
380bcb6ff7994258943d866dcf733e53,,Цена чашки капучино:149–259 ₽,,204.0
fba26eff30f641c49b20e790bb23ce28,средние,Средний счёт:от 300 ₽,300.0,
dbfbde9f2fef4be4803cb850923292a1,,Средний счёт:250–300 ₽,275.0,
971949f3515f4f3fbad82b37f8ea43f0,,Средний счёт:30–300 ₽,165.0,
e7ba6bce96a249bf954b8791376c9555,,Средний счёт:от 200 ₽,200.0,
49ac8b764f8344b2901aa39e64d5e922,,Средний счёт:от 500 ₽,500.0,
e99e0290a66840d1a3a047ea1c9db4a4,высокие,Средний счёт:1500–2500 ₽,2000.0,
efade0df8a79471b9d3e6290d76fa94a,,Средний счёт:200–250 ₽,225.0,
0274cb69318b4d4299fd8b436b3e626f,средние,Средний счёт:195–235 ₽,215.0,
9b971aabd8f84591857a4dc5da792332,,Цена чашки капучино:100–200 ₽,,150.0
de6a05c0ace6449d86ab868ea1a5904b,,Средний счёт:от 549 ₽,549.0,
b60cde4dd7074f26a01edaa52c483554,,Цена чашки капучино:120 ₽,,120.0
95c3d2caea7347139afa37bdcbbc2790,,Средний счёт:160–240 ₽,200.0,
12be5b0c5ac54518bb0aa8c35fa8d105,,Средний счёт:320–480 ₽,400.0,
378458bc63dd4a5ab5648736658e99cb,низкие,Средний счёт:50–300 ₽,175.0,
